"epoch","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"24","415","415","415","0.44769999384880066","0.44769999384880066","0.44769999384880066","415","415","415","0.4677000045776367","0.4677000045776367","0.4677000045776367","415","415","415","0.582099974155426","0.582099974155426","0.582099974155426","415","415","415","0.7046999931335449","0.7046999931335449","0.7046999931335449"
"25","431","431","431","0.44929999113082886","0.44929999113082886","0.44929999113082886","431","431","431","0.4893999993801117","0.4893999993801117","0.4893999993801117","431","431","431","0.5692999958992004","0.5692999958992004","0.5692999958992004","431","431","431","0.7056999802589417","0.7056999802589417","0.7056999802589417"
"26","448","448","448","0.4691999852657318","0.4691999852657318","0.4691999852657318","448","448","448","0.47999998927116394","0.47999998927116394","0.47999998927116394","448","448","448","0.4803999960422516","0.4803999960422516","0.4803999960422516","448","448","448","0.7128000259399414","0.7128000259399414","0.7128000259399414"
"27","464","464","464","0.4681999981403351","0.4681999981403351","0.4681999981403351","464","464","464","0.5034000277519226","0.5034000277519226","0.5034000277519226","464","464","464","0.5680000185966492","0.5680000185966492","0.5680000185966492","464","464","464","0.6970000267028809","0.6970000267028809","0.6970000267028809"
"28","481","481","481","0.45739999413490295","0.45739999413490295","0.45739999413490295","481","481","481","0.4875999987125397","0.4875999987125397","0.4875999987125397","481","481","481","0.5794000029563904","0.5794000029563904","0.5794000029563904","481","481","481","0.7113999724388123","0.7113999724388123","0.7113999724388123"
"29","498","498","498","0.42910000681877136","0.42910000681877136","0.42910000681877136","498","498","498","0.4634000062942505","0.4634000062942505","0.4634000062942505","498","498","498","0.5730000138282776","0.5730000138282776","0.5730000138282776","498","498","498","0.7128999829292297","0.7128999829292297","0.7128999829292297"
"30","514","514","514","0.4553000032901764","0.4553000032901764","0.4553000032901764","514","514","514","0.4909000098705292","0.4909000098705292","0.4909000098705292","514","514","514","0.553600013256073","0.553600013256073","0.553600013256073","514","514","514","0.7059999704360962","0.7059999704360962","0.7059999704360962"
"31","531","531","531","0.4731999933719635","0.4731999933719635","0.4731999933719635","531","531","531","0.4553000032901764","0.4553000032901764","0.4553000032901764","531","531","531","0.5896000266075134","0.5896000266075134","0.5896000266075134","531","531","531","0.7146000266075134","0.7146000266075134","0.7146000266075134"
"32","548","548","548","0.4724999964237213","0.4724999964237213","0.4724999964237213","548","548","548","0.4519999921321869","0.4519999921321869","0.4519999921321869","548","548","548","0.5436000227928162","0.5436000227928162","0.5436000227928162","548","548","548","0.7160999774932861","0.7160999774932861","0.7160999774932861"
"33","564","564","564","0.45730000734329224","0.45730000734329224","0.45730000734329224","564","564","564","0.47909998893737793","0.47909998893737793","0.47909998893737793","564","564","564","0.5467000007629395","0.5467000007629395","0.5467000007629395","564","564","564","0.7132999897003174","0.7132999897003174","0.7132999897003174"
"34","581","581","581","0.44339999556541443","0.44339999556541443","0.44339999556541443","581","581","581","0.49470001459121704","0.49470001459121704","0.49470001459121704","581","581","581","0.5778999924659729","0.5778999924659729","0.5778999924659729","581","581","581","0.7106000185012817","0.7106000185012817","0.7106000185012817"
"35","598","598","598","0.46709999442100525","0.46709999442100525","0.46709999442100525","598","598","598","0.475600004196167","0.475600004196167","0.475600004196167","598","598","598","0.5055999755859375","0.5055999755859375","0.5055999755859375","598","598","598","0.7267000079154968","0.7267000079154968","0.7267000079154968"
