"epoch","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"23","398","398","398","0.6779999732971191","0.6779999732971191","0.6779999732971191","398","398","398","0.8212000131607056","0.8212000131607056","0.8212000131607056","398","398","398","0.8482000231742859","0.8482000231742859","0.8482000231742859","398","398","398","0.8439000248908997","0.8439000248908997","0.8439000248908997"
"24","415","415","415","0.676800012588501","0.676800012588501","0.676800012588501","415","415","415","0.8230000138282776","0.8230000138282776","0.8230000138282776","415","415","415","0.8335000276565552","0.8335000276565552","0.8335000276565552","415","415","415","0.849399983882904","0.849399983882904","0.849399983882904"
"25","431","431","431","0.6776000261306763","0.6776000261306763","0.6776000261306763","431","431","431","0.8263999819755554","0.8263999819755554","0.8263999819755554","431","431","431","0.8421000242233276","0.8421000242233276","0.8421000242233276","431","431","431","0.8432999849319458","0.8432999849319458","0.8432999849319458"
"26","448","448","448","0.6523000001907349","0.6523000001907349","0.6523000001907349","448","448","448","0.8240000009536743","0.8240000009536743","0.8240000009536743","448","448","448","0.8597000241279602","0.8597000241279602","0.8597000241279602","448","448","448","0.8425999879837036","0.8425999879837036","0.8425999879837036"
"27","464","464","464","0.6833000183105469","0.6833000183105469","0.6833000183105469","464","464","464","0.8296999931335449","0.8296999931335449","0.8296999931335449","464","464","464","0.8517000079154968","0.8517000079154968","0.8517000079154968","464","464","464","0.8531000018119812","0.8531000018119812","0.8531000018119812"
"28","481","481","481","0.6765999794006348","0.6765999794006348","0.6765999794006348","481","481","481","0.8325999975204468","0.8325999975204468","0.8325999975204468","481","481","481","0.8521999716758728","0.8521999716758728","0.8521999716758728","481","481","481","0.8468000292778015","0.8468000292778015","0.8468000292778015"
"29","498","498","498","0.6801000237464905","0.6801000237464905","0.6801000237464905","498","498","498","0.8342999815940857","0.8342999815940857","0.8342999815940857","498","498","498","0.8418999910354614","0.8418999910354614","0.8418999910354614","498","498","498","0.8479999899864197","0.8479999899864197","0.8479999899864197"
"30","514","514","514","0.6777999997138977","0.6777999997138977","0.6777999997138977","514","514","514","0.8371999859809875","0.8371999859809875","0.8371999859809875","514","514","514","0.8454999923706055","0.8454999923706055","0.8454999923706055","514","514","514","0.8361999988555908","0.8361999988555908","0.8361999988555908"
"31","531","531","531","0.6747000217437744","0.6747000217437744","0.6747000217437744","531","531","531","0.8345999717712402","0.8345999717712402","0.8345999717712402","531","531","531","0.8579999804496765","0.8579999804496765","0.8579999804496765","531","531","531","0.8567000031471252","0.8567000031471252","0.8567000031471252"
"32","548","548","548","0.6862000226974487","0.6862000226974487","0.6862000226974487","548","548","548","0.8296999931335449","0.8296999931335449","0.8296999931335449","548","548","548","0.8529999852180481","0.8529999852180481","0.8529999852180481","548","548","548","0.8504999876022339","0.8504999876022339","0.8504999876022339"
