"epoch","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"34","581","581","581","0.8450000286102295","0.8450000286102295","0.8450000286102295","581","581","581","0.8465999960899353","0.8465999960899353","0.8465999960899353","581","581","581","0.8323000073432922","0.8323000073432922","0.8323000073432922","581","581","581","0.692300021648407","0.692300021648407","0.692300021648407"
"35","598","598","598","0.8476999998092651","0.8476999998092651","0.8476999998092651","598","598","598","0.8482000231742859","0.8482000231742859","0.8482000231742859","598","598","598","0.8327999711036682","0.8327999711036682","0.8327999711036682","598","598","598","0.684499979019165","0.684499979019165","0.684499979019165"
"36","614","614","614","0.845300018787384","0.845300018787384","0.845300018787384","614","614","614","0.8449000120162964","0.8449000120162964","0.8449000120162964","614","614","614","0.8303999900817871","0.8303999900817871","0.8303999900817871","614","614","614","0.6909000277519226","0.6909000277519226","0.6909000277519226"
"37","631","631","631","0.8450000286102295","0.8450000286102295","0.8450000286102295","631","631","631","0.8447999954223633","0.8447999954223633","0.8447999954223633","631","631","631","0.8309000134468079","0.8309000134468079","0.8309000134468079","631","631","631","0.6895999908447266","0.6895999908447266","0.6895999908447266"
"38","647","647","647","0.8439000248908997","0.8439000248908997","0.8439000248908997","647","647","647","0.8463000059127808","0.8463000059127808","0.8463000059127808","647","647","647","0.824400007724762","0.824400007724762","0.824400007724762","647","647","647","0.678600013256073","0.678600013256073","0.678600013256073"
"39","664","664","664","0.8468999862670898","0.8468999862670898","0.8468999862670898","664","664","664","0.849399983882904","0.849399983882904","0.849399983882904","664","664","664","0.833299994468689","0.833299994468689","0.833299994468689","664","664","664","0.6923999786376953","0.6923999786376953","0.6923999786376953"
"40","681","681","681","0.8432000279426575","0.8432000279426575","0.8432000279426575","681","681","681","0.8472999930381775","0.8472999930381775","0.8472999930381775","681","681","681","0.8391000032424927","0.8391000032424927","0.8391000032424927","681","681","681","0.7096999883651733","0.7096999883651733","0.7096999883651733"
"41","697","697","697","0.84579998254776","0.84579998254776","0.84579998254776","697","697","697","0.847000002861023","0.847000002861023","0.847000002861023","697","697","697","0.8321999907493591","0.8321999907493591","0.8321999907493591","697","697","697","0.7042999863624573","0.7042999863624573","0.7042999863624573"
"42","714","714","714","0.847599983215332","0.847599983215332","0.847599983215332","714","714","714","0.8479999899864197","0.8479999899864197","0.8479999899864197","714","714","714","0.833899974822998","0.833899974822998","0.833899974822998","714","714","714","0.6833000183105469","0.6833000183105469","0.6833000183105469"
"43","731","731","731","0.8460000157356262","0.8460000157356262","0.8460000157356262","731","731","731","0.8492000102996826","0.8492000102996826","0.8492000102996826","731","731","731","0.8345999717712402","0.8345999717712402","0.8345999717712402","731","731","731","0.7002999782562256","0.7002999782562256","0.7002999782562256"
"44","747","747","747","0.8474000096321106","0.8474000096321106","0.8474000096321106","747","747","747","0.8486999869346619","0.8486999869346619","0.8486999869346619","747","747","747","0.8319000005722046","0.8319000005722046","0.8319000005722046","747","747","747","0.6991000175476074","0.6991000175476074","0.6991000175476074"
"45","764","764","764","0.8464999794960022","0.8464999794960022","0.8464999794960022","764","764","764","0.8478999733924866","0.8478999733924866","0.8478999733924866","764","764","764","0.8402000069618225","0.8402000069618225","0.8402000069618225","764","764","764","0.708899974822998","0.708899974822998","0.708899974822998"
